20200101,2020-01-01,Wednesday,January,Jan,1,1,2020
20200102,2020-01-02,Thursday,January,Jan,1,1,2020
20200103,2020-01-03,Friday,January,Jan,1,1,2020
20200104,2020-01-04,Saturday,January,Jan,1,1,2020
20200105,2020-01-05,Sunday,January,Jan,1,1,2020
20200106,2020-01-06,Monday,January,Jan,1,1,2020
20200107,2020-01-07,Tuesday,January,Jan,1,1,2020
20200108,2020-01-08,Wednesday,January,Jan,1,1,2020
20200109,2020-01-09,Thursday,January,Jan,1,1,2020
20200110,2020-01-10,Friday,January,Jan,1,1,2020
20200111,2020-01-11,Saturday,January,Jan,1,1,2020
20200112,2020-01-12,Sunday,January,Jan,1,1,2020
20200113,2020-01-13,Monday,January,Jan,1,1,2020
20200114,2020-01-14,Tuesday,January,Jan,1,1,2020
20200115,2020-01-15,Wednesday,January,Jan,1,1,2020
20200116,2020-01-16,Thursday,January,Jan,1,1,2020
20200117,2020-01-17,Friday,January,Jan,1,1,2020
20200118,2020-01-18,Saturday,January,Jan,1,1,2020
20200119,2020-01-19,Sunday,January,Jan,1,1,2020
20200120,2020-01-20,Monday,January,Jan,1,1,2020
20200121,2020-01-21,Tuesday,January,Jan,1,1,2020
20200122,2020-01-22,Wednesday,January,Jan,1,1,2020
20200123,2020-01-23,Thursday,January,Jan,1,1,2020
20200124,2020-01-24,Friday,January,Jan,1,1,2020
20200125,2020-01-25,Saturday,January,Jan,1,1,2020
20200126,2020-01-26,Sunday,January,Jan,1,1,2020
20200127,2020-01-27,Monday,January,Jan,1,1,2020
20200128,2020-01-28,Tuesday,January,Jan,1,1,2020
20200129,2020-01-29,Wednesday,January,Jan,1,1,2020
20200130,2020-01-30,Thursday,January,Jan,1,1,2020
20200131,2020-01-31,Friday,January,Jan,1,1,2020
20200201,2020-02-01,Saturday,February,Feb,2,1,2020
20200202,2020-02-02,Sunday,February,Feb,2,1,2020
20200203,2020-02-03,Monday,February,Feb,2,1,2020
20200204,2020-02-04,Tuesday,February,Feb,2,1,2020
20200205,2020-02-05,Wednesday,February,Feb,2,1,2020
20200206,2020-02-06,Thursday,February,Feb,2,1,2020
20200207,2020-02-07,Friday,February,Feb,2,1,2020
20200208,2020-02-08,Saturday,February,Feb,2,1,2020
20200209,2020-02-09,Sunday,February,Feb,2,1,2020
20200210,2020-02-10,Monday,February,Feb,2,1,2020
20200211,2020-02-11,Tuesday,February,Feb,2,1,2020
20200212,2020-02-12,Wednesday,February,Feb,2,1,2020
20200213,2020-02-13,Thursday,February,Feb,2,1,2020
20200214,2020-02-14,Friday,February,Feb,2,1,2020
20200215,2020-02-15,Saturday,February,Feb,2,1,2020
20200216,2020-02-16,Sunday,February,Feb,2,1,2020
20200217,2020-02-17,Monday,February,Feb,2,1,2020
